Name,City,Latitude,Longitude,Biogenic,Fossil,Total,Qwaste,Qdh,P,Qfgc,Connected,CCUSmix,Comment,
Renova,Goteborg,57.732,12.053,321,223,544,171,126,45,38,FALSE,CCS,Boiler: 171 MW thermal,
Hogbytorp,Bro,59.5453,17.6197,184,123,307,99,70,29,22,FALSE,CCS,Boiler: 99 MW thermal,
Filbornaverket,Helsingborg,56.0675,12.7367,122,92,214,69,52,17,20,FALSE,CCS,Boiler: 69 MW thermal,
Garstadverket,Linkoping,58.437,15.655,321,278,599,175,135,40,38.5,FALSE,CCS,"2 waste-fired CHP boilers on site, 81 + 94 MW thermal",
Sjolunda,Malmo,55.6167,13.0333,303,283,586,170,130,40,6,FALSE,CCS,"2 waste-fired CHP boilers on site, 85 + 85 MW thermal",
Handeloverket,Norrkoping,58.621,16.232,239,256,495,160,120,40,28,TRUE,CCU,"1 waste-fired + 1 biomass-fired CHP boilers on site, 160 + 289 MW thermal, 28MWfgc is new",
Bristaverket,Stockholm,59.615,17.873,136,93,229,74,57,17,12,TRUE,CCS,"1 waste-fired + 1 biomass-fired CHP boilers on site, 74 + 116 MW thermal",
Vasteras KVV,Vasteras,59.588,16.514,331,158,489,158,110,48,30,TRUE,CCU,"1 waste-fired + 2 biomass-fired CHP boilers on site, 158 + 150 + 170 MW thermal",
Hogdalenverket,Stockholm,59.2565,18.0614,471,325,796,257,186,71,36,TRUE,CCS,"1 waste-fired + 1 biomass-fired CHP boilers on site, 98 257 (check old data) + 159 MW thermal",
Bolanderna,Uppsala,59.8533,17.6747,205,156,361,149,139,10,29,TRUE,CCU,Several smaller boilers to common stack (ref: Bolanderna Uppsala MSc thesis),
